Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,0,0,8,21,"00:16:16,059","00:16:21,731"
You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,0,1,8,21,"00:16:21,940","00:16:23,442"
That I did. That I did.,Chandler,neutral,neutral,0,2,0,2,8,21,"00:16:23,442","00:16:26,389"
So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,0,3,8,21,"00:16:26,820","00:16:29,572"
My duties?  All right.,Chandler,surprise,positive,0,4,0,4,8,21,"00:16:34,452","00:16:40,917"
"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,0,5,8,21,"00:16:41,126","00:16:44,337"
I see.,Chandler,neutral,neutral,0,6,0,6,8,21,"00:16:48,800","00:16:51,886"
But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,0,7,8,21,"00:16:48,800","00:16:54,514"
Good to know.,Chandler,neutral,neutral,0,8,0,8,8,21,"00:16:59,477","00:17:00,478"
We can go into detail,The Interviewer,neutral,neutral,0,9,0,9,8,21,"00:17:00,478","00:17:02,719"
No don’t I beg of you!,Chandler,fear,negative,0,10,0,10,8,21,"00:17:02,856","00:17:04,858"
"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,0,11,8,21,"00:17:05,025","00:17:13,324"
Really?!,Chandler,surprise,positive,0,12,0,12,8,21,"00:17:13,491","00:17:16,536"
Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,0,13,8,21,"00:17:17,579","00:17:20,707"
But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,1,0,9,23,"00:36:40,364","00:36:42,824"
You know? Forget it!,Rachel,sadness,negative,1,1,1,1,9,23,"00:36:44,368","00:36:46,578"
"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,1,2,9,23,"00:36:44,368","00:36:49,122"
"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,1,3,9,23,"00:36:49,290","00:36:51,791"
Ok!,Joey,neutral,neutral,1,4,1,4,9,23,"00:36:52,376","00:36:53,543"
"All right, well...",Joey,neutral,neutral,1,5,1,5,9,23,"00:36:53,545","00:36:55,000"
"Yeah, sure!",Rachel,neutral,neutral,1,6,1,8,9,23,"0:36:59,425","0:37:01,439"
"Hey, Mon.",Chandler,neutral,neutral,2,0,2,0,3,6,"00:05:50,350","00:05:51,433"
Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,2,1,3,6,"0:05:52,435","0:05:53,897"
Do I ever.,Chandler,joy,positive,2,2,2,2,3,6,"0:05:53,897","0:05:55,743"
Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,2,3,3,6,"0:05:57,023","0:05:58,734"
No way!,Chandler,surprise,negative,2,4,2,4,3,6,"0:05:58,734","0:05:59,774"
"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,2,5,3,6,"00:05:59,942","00:06:02,152"
Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,2,6,3,6,"00:06:02,362","00:06:07,157"
Got me.,Monica,sadness,negative,2,7,2,7,3,6,"00:06:04,489","00:06:07,157"
Can I get a beer.,Chandler,neutral,neutral,2,8,2,8,3,6,"0:06:07,367","0:06:08,035"
"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,2,9,3,6,"0:06:08,035","0:06:10,019"
You betcha!,Chandler,joy,positive,2,10,2,10,3,6,"0:06:10,161","0:06:10,973"
Is it the Italian guy?,Monica,neutral,neutral,2,11,2,11,3,6,"0:06:10,973","0:06:12,167"
"Um-mm, yeah right!",Chandler,joy,positive,2,12,2,12,3,6,"00:06:12,288","00:06:13,497"
"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,0,3,12,"00:10:16,115","00:10:18,450"
"What, what, what?!",Chandler,surprise,negative,3,1,3,1,3,12,"0:10:18,618","0:10:19,750"
What?!,Phoebe,surprise,negative,3,2,3,2,3,12,"0:10:19,750","0:10:20,966"
He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,3,3,12,"00:10:21,078","00:10:23,496"
"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,4,3,12,"00:10:23,664","00:10:26,499"
"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,5,3,12,"00:10:26,667","00:10:29,586"
"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,6,3,12,"00:10:29,754","00:10:32,672"
"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,7,3,8,3,12,"00:10:36,385","00:10:39,137"
What?!,Phoebe,surprise,negative,4,0,3,2,3,12,"0:10:19,750","0:10:20,966"
He was with her when he wrote this poem.,Phoebe,neutral,neutral,4,1,3,3,3,12,"00:10:21,078","00:10:23,496"
