Utterance,Speaker,Emotion,Scene_ID,Utterance_ID,Season,Episode,Start_Time,End_Time
"What you guys don't understand is, for us, kissing is as important as any part of it.",['Monica Geller'],Joyful,1,1,1,2,00:00:02.877,00:00:07.548
"Yeah, right!.......Y'serious?",['Joey Tribbiani'],Neutral,1,2,1,2,00:00:04.504,00:00:07.548
"Oh, yeah!",['Phoebe Buffay'],Joyful,1,3,1,2,00:00:07.924,00:00:09.508
Everything you need to know is in that first kiss.,['Rachel Green'],Powerful,1,4,1,2,00:00:11.970,00:00:17.683
Absolutely.,['Monica Geller'],Powerful,1,5,1,2,00:00:14.139,00:00:15.097
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",['Chandler Bing'],Joyful,1,6,1,2,00:00:17.892,00:00:27.109
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",['Ross Geller'],Neutral,1,7,1,2,00:00:30.363,00:00:39.288
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",['Chandler Bing'],Mad,1,8,1,2,00:00:37.287,00:00:53.844
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",['Rachel Green'],Sad,1,9,1,2,00:00:51.092,00:01:03.687
....Are we still talking about sex?,['Joey Tribbiani'],Joyful,1,10,1,2,00:01:08.443,00:01:10.778
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",['Ross Geller'],Scared,2,1,1,2,00:02:05.333,00:02:11.088
"Well, she has issues.",['Marsha'],Sad,2,2,1,2,00:02:07.418,00:02:11.088
Does she.,['Ross Geller'],Scared,2,3,1,2,00:02:11.297,00:02:13.006
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",['Marsha'],Mad,2,4,1,2,00:02:14.717,00:02:22.683
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",['Ross Geller'],Neutral,2,5,1,2,00:02:22.934,00:02:33.569
"Speaking of issues, isn't that your ex-wife?",['Marsha'],Mad,2,6,1,2,00:02:33.778,00:02:35.863
No. No.,['Ross Geller'],Scared,2,8,1,2,00:02:36.072,00:02:38.740
"Yes, it is. Carol! Hi!",['Marsha'],Joyful,2,9,1,2,00:02:38.950,00:02:40.492
Hi.,['Ross Geller'],Neutral,2,12,1,2,00:02:40.702,00:02:43.078
So.,['Carol Willick'],Neutral,2,13,1,2,00:02:57.969,00:02:59.761
"You look great. I, uh... I hate that.",['Ross Geller'],Scared,2,14,1,2,00:03:06.936,00:03:17.362
Sorry. You look good too.,['Carol Willick'],Joyful,2,15,1,2,00:03:09.355,00:03:13.066
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",['Ross Geller'],Joyful,2,16,1,2,00:03:17.572,00:03:28.624
A lesbian?,['Carol Willick'],Neutral,2,17,1,2,00:03:22.076,00:03:23.327
"Well... you never know. How's, um.. how's the family?",['Ross Geller'],Peaceful,2,18,1,2,00:03:26.748,00:03:32.961
"Marty's still totally paranoid. Oh, and, uh-",['Carol Willick'],Mad,2,19,1,2,00:03:33.171,00:03:37.799
"Why- why are you here, Carol?",['Ross Geller'],Scared,2,20,1,2,00:03:35.715,00:03:41.094
I'm pregnant.,['Carol Willick'],Neutral,2,21,1,2,00:03:38.009,00:03:41.094
Pregnant?!,['Ross Geller'],Scared,2,22,1,2,00:03:42.513,00:03:45.224
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",['Ross Geller'],Neutral,6,1,1,2,00:14:09.014,00:14:41.546
Hi.,['Susan Bunch'],Neutral,6,3,1,2,00:14:16.730,00:14:18.398
"Ross, you remember Susan.",['Carol Willick'],Neutral,6,4,1,2,00:14:35.624,00:14:37.876
How could I forget?,['Ross Geller'],Mad,6,5,1,2,00:14:38.085,00:14:41.546
Ross.,['Susan Bunch'],Neutral,6,6,1,2,00:14:42.631,00:14:44.173
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",['Ross Geller'],Neutral,6,7,1,2,00:14:48.095,00:14:56.728
Dr. Oberman.,['Carol Willick'],Neutral,6,8,1,2,00:14:49.471,00:14:52.098
..Dr. Oberman. Okay. And is he-,['Ross Geller'],Neutral,6,9,1,2,00:14:56.937,00:14:59.230
She.,['Susan Bunch'],Neutral,6,10,1,2,00:14:59.440,00:15:01.983
"-she, of course, she- uh- familiar with our.. special situation?",['Ross Geller'],Neutral,6,11,1,2,00:15:02.776,00:15:09.240
"Yes, and she's very supportive.",['Carol Willick'],Neutral,6,12,1,2,00:15:07.406,00:15:09.240
"Okay, that's great. No, I'm- Oh.",['Ross Geller'],Neutral,6,13,1,2,00:15:09.450,00:15:14.704
Thanks.,['Carol Willick'],Neutral,6,14,1,2,00:15:13.162,00:15:14.704
"Quack, quack..",['Ross Geller'],Joyful,6,15,1,2,00:15:15.706,00:15:17.165
Ross? That opens my cervix.,['Carol Willick'],Scared,6,16,1,2,00:15:31.680,00:15:35.099
Barry?,['Rachel Green'],Neutral,7,1,1,2,00:15:33.098,00:15:35.099
C'mon in.,['Barry Farber'],Neutral,7,2,1,2,00:15:35.309,00:15:38.937
Are you sure?,['Rachel Green'],Scared,7,3,1,2,00:15:37.311,00:15:38.937
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",['Barry Farber'],Neutral,7,4,1,2,00:15:45.778,00:15:52.116
Huh?!,['Robbie'],Scared,7,5,1,2,00:15:48.489,00:15:49.447
"So, how ya doin?",['Barry Farber'],Peaceful,7,6,1,2,00:15:49.657,00:15:52.116
I'm- uh- I'm okay... You look great!,['Rachel Green'],Sad,7,7,1,2,00:15:56.705,00:16:03.753
"Yeah, well..",['Barry Farber'],Neutral,7,8,1,2,00:15:59.583,00:16:03.753
"Dr. Farber, Jason Greenstein's gagging.",['Bernice'],Neutral,7,9,1,2,00:16:01.919,00:16:05.797
Be right there. Be back in a sec.,['Barry Farber'],Neutral,7,10,1,2,00:16:10.844,00:16:13.596
I dumped him.,['Rachel Green'],Sad,7,12,1,2,00:16:18.686,00:16:20.186
Okay.,['Robbie'],Neutral,7,13,1,2,00:16:21.522,00:16:22.814
Give me a 'for instance'.,['Carol Willick'],Mad,8,2,1,2,00:16:31.365,00:16:42.125
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",['Ross Geller'],Scared,8,3,1,2,00:16:47.423,00:16:53.136
Marlon-,['Carol Willick'],Powerful,8,4,1,2,00:16:48.924,00:16:50.591
Marlon?!,['Ross Geller'],Mad,8,5,1,2,00:16:50.801,00:16:53.136
"-if it's a boy, Minnie if it's a girl.",['Carol Willick'],Powerful,8,6,1,2,00:16:53.345,00:16:57.181
...As in Mouse?,['Ross Geller'],Mad,8,7,1,2,00:16:59.268,00:17:00.893
As in my grandmother.,['Carol Willick'],Neutral,8,8,1,2,00:17:02.438,00:17:03.813
Julia..,['Carol Willick'],Neutral,8,10,1,2,00:17:04.690,00:17:07.734
We agreed on Minnie.,['Susan Bunch'],Powerful,8,11,1,2,00:17:09.820,00:17:13.489
Sorry about that. So. What have you been up to?,['Barry Farber'],Neutral,9,1,1,2,00:17:27.337,00:17:35.344
"Oh, not much. I-I got a job.",['Rachel Green'],Scared,9,2,1,2,00:17:35.554,00:17:41.392
